"kilde (aktivitet)";"energiprodukt";"komponent";"år";"statistikkvariabel";"08940: Klimagasser, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";41533
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";41639
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";41828
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";42597
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";42117
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";43503
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";42564
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";43915
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44252
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";43280
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";43864
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";45618
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44708
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";43116
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";45662
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44790
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44270
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44551
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44981
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";45522
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44681
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44129
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";44278
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";42706
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";41173
"0 Alle kilder";"VT0 I alt";"K11 Karbondioksid (CO2)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";40920
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6234
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6097
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6182
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6328
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6414
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6420
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6425
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6449
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6219
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6170
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6178
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6168
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6035
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6006
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5897
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5743
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5598
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5683
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5531
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5571
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5578
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5455
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5361
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5280
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5225
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5222
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5135
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4994
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4915
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4732
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4722
"0 Alle kilder";"VT0 I alt";"K12 Metan (CH4)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4693
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4099
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3945
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3411
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3609
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3676
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3702
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3718
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3707
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3801
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4013
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3816
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3736
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3981
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3833
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3976
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4046
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3716
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3537
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3093
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2546
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2455
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2446
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2454
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2434
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2445
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2484
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2420
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2373
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2350
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2374
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2322
"0 Alle kilder";"VT0 I alt";"K13 Lystgass (N2O)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2326
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";0
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";36
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";98
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";130
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";195
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";258
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";323
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";369
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";467
