"kilde (aktivitet)";"energiprodukt";"komponent";"år";"statistikkvariabel";"08940: Klimagasser, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K90 Perfluorkarboner (PFK)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";175
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K90 Perfluorkarboner (PFK)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";161
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K90 Perfluorkarboner (PFK)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";248
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2045
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1927
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";609
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";633
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";755
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";486
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";451
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";417
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";555
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";692
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";738
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";616
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";135
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";164
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";196
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";229
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";115
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";-
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";-
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";-
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";-
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";-
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"2 Industri og bergverk";"VT9 Uoppgitt/ ikke aktuelt";"K95 Svovelheksafluorid (SF6)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";341
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";397
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";390
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";410
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";466
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";469
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";561
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";493
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";538
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";523
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";485
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";541
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";583
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";715
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";605
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";591
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";648
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";948
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";802
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2015
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2460
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2248
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1732
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1766
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1757
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1755
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1722
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1878
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1841
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1734
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1671
"3 Energiforsyning";"VT0 I alt";"A10 Klimagasser i alt";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1724
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";334
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";386
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";378
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";398
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";455
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";457
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";548
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";482
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";526
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";510
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";471
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";526
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";567
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";696
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";590
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";576
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";632
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";929
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";782
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1981
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2411
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2204
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1689
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1721
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1710
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1706
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1672
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1825
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1787
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1680
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1618
"3 Energiforsyning";"VT0 I alt";"K11 Karbondioksid (CO2)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1670
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";4
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";6
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";7
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";7
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";7
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";8
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";11
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";10
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";23
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";33
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";29
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";25
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";26
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";27
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";28
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";28
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";29
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";29
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";29
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";29
"3 Energiforsyning";"VT0 I alt";"K12 Metan (CH4)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";29
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";5
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";9
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";10
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";8
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";8
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";9
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";9
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";8
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";8
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";9
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";9
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";10
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";11
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";12
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";9
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";8
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";8
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";7
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";10
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";11
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";16
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";16
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";17
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";19
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";20
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";21
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";22
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";24
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";25
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";25
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";24
"3 Energiforsyning";"VT0 I alt";"K13 Lystgass (N2O)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";24
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
"3 Energiforsyning";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";.
